frase,autor
Toda alegria é assim: já vem embrulhada numa tristezinha de papel fino.,Millôr Fernandes
Cada ideologia tem a inquisição que merece.,Millôr Fernandes
O jovem não precisa de razões para viver; precisa só de pretextos.,José Ortega y Gasset
"O problema não é um Deus que não existe, mas a religião que O proclama!",José Saramago
"O remorso é a única dor da alma, que nem a reflexão nem o tempo atenuam.",Madame de Staël
O dinheiro não traz a felicidade. Manda buscar.,Millôr
"O dinheiro não só fala, como faz muita gente calar a boca.",Millôr Fernandes
"Se os seus princípios são rígidos e inabaláveis, você, pessoalmente, já não precisa ser tanto.",Millôr Fernandes
Só a ignorância aceita e a indiferença tolera o reinado da mediocridade.,José de Alencar
"Suportamos tudo isso, por amor dos eleitos.",Padre José de Anchieta
"as nuvens, meu irmão,são leviandadesda criação",Millôr Fernandes
"Três coisas que derrotam os computadores: estrelas no céu, grão de areia na praia, idiotas no mundo.",Millôr Fernandes
Há duas coisas que ninguém perdoa: nossas vitórias e nossos fracassos.,Millôr Fernandes
"Eu acredito no respeito pelas crenças de todas as pessoas, mas gostaria que as crenças de todas as pessoas fossem capazes de respeitar as crenças de todas as pessoas.",José Saramago
"A morte é uma vitória, e quando se viveu bem o caixão é um arco de triunfo.",José Martí
"Depois de bem ajustado o preço, a gente deve sempre trabalhar por amor à arte.",Millôr
O otimista não sabe o que o espera.,Millôr Fernandes
"Passado: É o futuro, usado.",Millôr Fernandes
"O que eu faço é uma gota no meio de um oceano. Mas sem ela, o oceano será menor.",Madre Teresa de Calcutá
"Ainda está por nascer o primeiro ser humano desprovido daquela segunda pele a que chamamos de egoísmo, bem mais dura que a outra, que por qualquer coisa sangra.",José Saramago
Não há outro inferno para o homem além da estupidez ou da maldade dos seus semelhantes.,Marquês de Sade
"Nenhum tempo e nenhum lugar nos agrada tanto como o tempo que não existe, e o lugar em que não estamos.",Marquês de Maricá
Tinha-a eu amado para ter o direito de odiá-la.,José de Alencar
Para você parecer culto é só ficar de olho no que o outro cara ignora.,Millôr Fernandes
"As palavras proferidas pelo coração não tem língua que as articule, retém-nas um nó na garganta e só nos olhos é que se podem ler.",José Saramago
"O espelho e os sonhos são coisas semelhantes, é como a imagem do homem diante de si próprio.",José Saramago
"SEM MARGEM A DÚVIDASSe você ainda mantémA intenção moral-visualDe só encarar homens de bemSegue este meu conselho:Sai da rua,Vai pra casa,Tranca a portaE quebra o espelho.",Millôr Fernandes
"É assim a vida, vai dando com uma mão até que chega o dia em que tira tudo com a outra.",José Saramago
"O difícil não é viver com as pessoas, o difícil é compreendê-las.",José Saramago
o velho coelhosó se reproduzno espelho,Millôr Fernandes
É horrível assistir à agonia de uma esperança.,Simone de Beauvoir
"Civilização é, antes de mais nada, vontade de convivência.",José Ortega y Gasset
"O ódio, tal como o amor, alimenta-se com as menores coisas, tudo lhe cai bem. Assim como a pessoa amada não pode fazer nenhum mal, a pessoa odiada não pode fazer nenhum bem.",Honoré de Balzac
"Quando a gente está cansado, dá uma bruta vontade de dizer que sim.",Millôr
"Todos sabemos que cada dia que nasce é o primeiro para uns e será o último para outros e que, para a maioria, é só um dia mais.",José Saramago
Ontem hoje / E amanhã / O homem o cabelo parte / Parte o cabelo com arte / Até que o cabelo parte.,Millôr Fernandes
"Ninguém sabe o que você ouve, mas todo mundo ouve muito bem o que você fala.",Millôr Fernandes
"Feliz é o que você percebe que era, muito tempo depois",Millôr Fernandes
"O costume de cair endurece o corpo, ter chegado ao chão, só por si, já é um alívio.",José Saramago
"Se ficarmos reparando os defeitos das outras pessoas nunca iremos participar da vida, pois vamos nos contentar com as nossas desculpas.",José Alberto
O dinheiro não traz a felicidade. Manda buscar,Millôr Fernandes
[POEMEU EFEMÉRICO]Viva o BrasilOnde o ano inteiroÉ primeiro de abril,Millôr Fernandes
com pó e mistérioa mulher ao espelhoretoca o adultério,Millôr Fernandes
O cadáver é que é o produto final. Nós somos apenas a matéria-prima.,Millôr Fernandes
As pessoas que falam muito acabam sempre contando coisas que ainda não aconteceram.,Millôr Fernandes
"De todas as taras sexuais, não existe nenhuma mais estranha do que a abstinência.",Millôr
Todos se dizem amigos; mas doido é quem acredita: nada há de mais banal que esse nome; nada é mais raro do que isso.,Jean de La Fontaine
"O que distingue um grande poeta é o fato dele nos dizer algo que ninguém ainda disse, mas que não é novo para nós.",José Ortega y Gasset
Sempre chega a hora em que descobrimos que sabíamos muito mais do que antes julgávamos.,José Saramago
A serra em chuvaSob o sol poente -Como não agradecer?,Paulo Franchetti
Podemos pretender ser quanto queiramos; mas não é lícito fingir que somos o que não somos.,José Ortega y Gasset
"Quando minha escolha é consciente, nenhuma repercussão me assusta. Quando não é, qualquer comentário me balança.",José Eustáquio
nada tem nexotudo é apenasum reflexo,Millôr Fernandes
A educação é o ponto em que decidimos se amamos o mundo o bastante para assumirmos a responsabilidade por ele.,Hannah Arendt (1906-1975)
"Se pronunciavam o teu nome diante de mim, corava e na minha perturbação julgava que tinham lido esse nome nos meus olhos ou dentro de minha alma, onde eu bem sabia que ele estava escrito.",José de Alencar
"Sabemos que VOCÊ, aí de cima, não tem mais como evitar o nascimento e a morte. Mas não pode, pelo menos, melhorar um pouco o intervalo?",Millôr Fernandes
"Muitos homens, como as crianças, querem uma coisa, mas não as suas consequências.",José Ortega y Gasset
Achamos que os padres também devem casar. Não há nenhum motivo para que conservem o privilégio do celibato.,Millôr Fernandes
"Capacidade de saber cada vez mais sobre cada vez menos, até saber tudo sobre nada.",Millôr Fernandes
Entre o riso e a lágrima há apenas o nariz.,Millôr Fernandes
"O mundo está cheio de pessoas que só fazem falar. Mas, quantos entre nós realmente fazemos o que falamos ?",Madonna
"Basta um avião sacudir um pouquinho mais, e logo todos os passageiros ficam parecidos com a foto do passaporte.",Millôr Fernandes
Erudito é um sujeito que tem mais cultura do que cabe nele.,Millôr Fernandes
Sem eu’s nunca existirá nós. O nós é feito de eu’s.,José Eustáquio
Pode-se ter saudades dos tempos bons mas não se deve fugir ao presente.,Michel de Montaigne
Muitas palavras não indicam necessariamente muita sabedoria.,Tales de Mileto
Não existe pensador católico. Não existe pensador marxista. Existe pensador. Preso a nada.,Millôr Fernandes
"Fizemos dos olhos uma espécie de espelhos virados para dentro, com o resultado, muitas vezes, de mostrarem eles sem reserva o que estávamos tratando de negar com a boca.",José Saramago
"Aos ricos, o favor da lei, aos pobres, o rigor da lei.",José Rainha Jr.
"A verdadeira amizade é aquela que nos permite falar, ao amigo, de todos os seus defeitos e de todas as nossas qualidades",Millôr
"É que o perfume denuncia o espírito Que sob as formas feminis palpita... Pois como a salamandra em chamas vive, Entre perfumes a mulher habita.",José de Alencar
"A maior vantagem da comida macrobiótica é que, por mais que você coma, por mais que encha o estômago, está sempre perfeitamente subalimentado.",Millôr Fernandes
O cara só é sinceramente ateu quando está muito bem de saúde,Millôr
"Brasil, condenado à esperança.",Millôr Fernandes
"A leitura é, provavelmente, uma outra maneira de estar em um lugar.",José Saramago
"(...) - Não lhe assustam meus caprichos e eletricidades?-  Se eu os adoro! respondeu Seixas.- Não lhe parece difícil fazer a felicidade de um coração desabusado como este meu, e tão aflingido pela dúvida?- Tenho fé no meu amor; Com ele vencerei o impossível.(...)",José de Alencar
"Nunca soube por que tanta gente teme o futuro.Nunca vi o futuro matar ninguém,Nunca vi o futuro roubar ninguém,Nunca vi nada que tivesse acontecido no futuro.Terrível é o passado ou, pior, o presente!",Millôr Fernandes
A televisão é a maior maravilha da ciência a serviço da imbecilidade humana.,Barão de Itararé
"Se você acha que está maluco é porque não está. Mas, se você acha que todo o mundo está maluco, então está.",Millôr
Colho-te uma florde manhã e extasio-mecom o teu sorriso,José Félix
"Prudência: E devemos sempre deixar bem claro que nenhum de nós, brasileiros, é contra o roubo. Somos apenas contra ser roubados",Millôr Fernandes
Criança é esse ser infeliz que os pais põem para dormir quando ainda está cheio de animação e arrancam da cama quando ainda está estremunhado de sono.,Millôr Fernandes
Com as lágrimas do tempo e a cal do meu dia eu fiz o cimento da minha poesia.,Vinicius de Moraes
"A razão pela qual intolerância, sexismo, racismo, homofobia existem é o medo. As pessoas têm medo de seus próprios sentimentos, medo do desconhecido.",Madonna
"Estranho é que o cérebro, feito essencialmente pra produzir idéias, exulte quando tem uma.",Millôr
Fiquem tranquilos os poderosos que têm medo de nós: nenhum humorista atira pra matar,Millôr
Jamais diga uma mentira que não possa provar.,Millôr
Como são admiráveis as pessoas que nós não conhecemos bem,Millôr
O Código Penal é a causa de todos os crimes!,Millôr Fernandes
Um homem começa a ficar velho quando já prefere andar só do que mal acompanhado.,Millôr Fernandes
"Sim, do mundo nada se leva. Mas é formidável ter uma porção de coisas a que dizer adeus.",Millôr Fernandes
"Se uma imagem vale mais do que mil palavras, então diga isto com uma imagem.",Millôr Fernandes
"Meu destino não passa pelo poder, pela religião, por qualquer uma dessas entidades idiotas. Meu script é original, fui eu quem fiz. Por isso, não morro no fim!",Millôr Fernandes
"Não tenho medo de morrer, talvez não haja o desconhecido, haja um velho amigo.",Millôr Fernandes
"Você está começando a ficar velho quando, depois de passar uma noite fora, tem que passar dois dias dentro.",Millôr Fernandes
"A vida voa na sua cara, esbarra no seu rosto, suja sua vaidade, corrompe suas certezas, e você não pode fazer nada. A não ser lavar o rosto e começar tudo de novo.",Hannah Mayria
O homem é um macaco que não deu certo.,Millôr Fernandes
"Se durar muito tempo, a popularidade acaba tornando a pessoa impopular.",Millôr Fernandes
Há esperanças que é loucura ter. Pois eu digo-te que se não fossem essas já eu teria desistido da vida.,José Saramago
"Se ensinares, ensina ao mesmo tempo a duvidar daquilo que estás a ensinar.",José Ortega y Gasset
"Se isso faz você se sentir bem, então eu digo ""faça isso"". Não sei pelo que você está esperando",Madonna
Tentei não fazer nada na vida que envergonhasse a criança que fui.,José Saramago
"A pobreza não é, necessariamente, vergonhosa. Há muito pobre sem vergonha.",Millôr Fernandes
"Os nossos amigos podem não saber muitas coisas, mas sabem sempre o que fariam no nosso lugar.",Millôr
"O sucesso nasce do querer, da determinação e persistência em se chegar a um objetivo. Mesmo não atingindo o alvo, quem busca e vence obstáculos, no mínimo fará coisas admiráveis.",José de Alencar
O preço da fidelidade é a eterna vigilância.,Millôr Fernandes
"Metade da vida é estragada pelos pais. A outra metade, pelos filhos.",Millôr Fernandes
O cadáver é que é o produto final. Nós somos apenas a matéria prima,Millôr
"Se é gostoso faz logo, amanhã pode ser ilegal.",Millôr Fernandes
"Sim, irmão, o dinheiro não é tudo. Mas o que é que é tudo?",Millôr Fernandes
A liberdade é um cachorro vira-lata.,Millôr Fernandes
tem cautela;ajuda o solcom uma vela,Millôr Fernandes
"Diga-me com quem andas e dir-te-ei [que língua, a nossa!] quem és. Pois é: Judas andava com Cristo. Cristo andava com Judas.",Millôr Fernandes
"Eu tentei ser um garoto, eu tentei ser uma garota, eu tentei ser uma bagunça, eu tentei ser a melhor. Eu acho que fiz tudo errado.",Madonna
"Sem ideias, a evolução humana seria inexplicável.",José Ingenieros
Toda uma biblioteca de Direito apenas para melhorar quase nada os dez mandamentos.,Millôr Fernandes
Uma imagem vale mais do que mil palavras. Vai dizer isto com uma imagem.,Millôr Fernandes
Não sou pessimista. O mundo é que é péssimo.,José Saramago
"Os únicos interessados em mudar o mundo são os pessimistas, porque os otimistas estão encantados com o que há...",José Saramago
O pior casamento é o que dá certo.,Millôr Fernandes
Celebridade é um idiota qualquer que apareceu no Faustão.,Millôr Fernandes
"Inúmeros artistas contemporâneos não são artistas e, olhando bem, nem são contemporâneos.",Millôr
"Em ciência leia sempre os livros mais novos. Em literatura, os mais velhos.",Millôr Fernandes
Um homem que come carne por instinto é tão vegetariano quanto um homem que come vegetais por princípio. Afinal de contas a carne é transubstanciação do capim que o animal comeu.,Millôr Fernandes
"Se se ganha dinheiro, o Cinema é uma indústria. Se se perde, é uma Arte.",Millôr
"DulcineiaQuem tu és não importa, nem conheces O sonho em que nasceu a tua face: Cristal vazio e mudo. Do sangue de Quixote te alimentas, Da alma que nele morre é que recebes A força de seres tudo.",José Saramago
Chama-se celebridade um débil mental que foi à televisão.,Millôr Fernandes
O certo e o errado são apenas modos diferentes de entender nossa relação com os outros.,José Saramago
"De todas as taras sexuais, não existe nenhuma mais estranha do que a abstinência",Millôr
"Por mais imbecil que você seja, sempre haverá um imbecil maior para achar que você não o é.",Millôr
"Em geral, quando a gente encontra um espírito aberto, entra e verifica que está é vazio.",Millôr Fernandes
"(...) Podemos então dizer que somos livres, com a paz e o sorriso de quem se reconhece e viajou à roda do mundo infatigável, porque mordeu a alma até aos... ossos dela. (...) Cada um de nós é por enquanto a vida. Isso nos baste.",José Saramago
A gente só morre uma vez. Mas é para sempre.,Millôr Fernandes
Não devemos resisitir às tentações: elas podem não voltar.,Millôr Fernandes
"Nós, os humoristas, temos bastante importância para ser presos e nenhuma importância para ser soltos.",Millôr Fernandes
"Damos voltas e voltas, mas, na realidade, só há duas coisas: ou escolhes a vida ou afastas-te dela.",José Saramago
"Se todos os homens recebessem exatamente o que merecem, ia sobrar muito dinheiro no mundo",Millôr
é meu conforto:da vida só me tirammorto,Millôr Fernandes
Todo homem nasce original e morre plágio.,Millôr Fernandes
"Por mais violento que seja o argumento contrário, por mais bem formulado, eu tenho sempre uma resposta que fecha a boca de qualquer um: ""Vocês têm toda a razão.""",Millôr Fernandes
Pontual é alguém que resolveu esperar muito.,Millôr
Goze.Quem sabe essaé a última dose?,Millôr Fernandes
É na idade da ambição que se prova a têmpera dos homens.,José de Alencar
"Dentro de nós há uma coisa que não tem nome, essa coisa é o que somos.",José Saramago
"A ocasião em que a inteligência do homem mais cresce, sua bondade alcança limites insuspeitados e seu carácter uma pureza inimaginável é nas primeiras 24 horas depois da sua morte.",Millôr Fernandes
O homem que honra a si mesmo é capaz de ver as virtudes de outro homem.,José Martí
"O elogio é um meio muito usa­do, mas sempre novo, de render homenagem à vaidade alheia.",José de Alencar
"Tentei lhe dizer muitas coisas, mais acabei descobrindo que amar é muito mais sentir do que dizer. E milhões de frases bonitas, jamais alcançariam o que eu sinto por você.",José de Alencar
- Responsabilidade de quê? - A responsabilidade de ter olhos quando os outros perderam.,José Saramago
O poder é o camaleão ao contrário: todos tomam a sua cor.,Millôr Fernandes
"Costuma-se dizer que as paredes têm ouvidos, imagine-se o tamanho que terão as orelhas das estrelas.",José Saramago
Pais e filhos não foram feitos para ser amigos. Foram feitos para ser pais e filhos,Millôr
Fique tranquilo: sempre se pode provar o contrário.,Millôr Fernandes
Nunca esqueça:A vida também perde a cabeça,Millôr Fernandes
Errar é humano. Ser apanhado em flagrante é burrice.,Millôr Fernandes
Natação e Automobilismo:Tenho absoluta incapacidade de admirar um homem apenas porque ele é melhor do que o outro um centésimo de segundo.,Millôr Fernandes
Em geral as pessoas que se perdem em pensamentos é porque não conhecem muito bem esse território.,Millôr Fernandes
A liberdade custa muito caro e temos ou de nos resignarmos a viver sem ela ou de nos decidirmos a pagar o seu preço.,José Martí
"Cada dia traz sua alegria e sua pena, e também sua lição proveitosa.",José Saramago
Chato…Indivíduo que tem mais interesse em nós do que nós temos nele,Millôr
"Olha,Entre um pingo e outroA chuva não molha.",Millôr Fernandes
O que as vitórias têm de mau é que não são definitivas. O que as derrotas têm de bom é que também não são definitivas.,José Saramago
O homem é o único animal que ri e é rindo que ele mostra o animal que realmente é.,Millôr Fernandes
"Se não disseres nada compreenderei melhor [...], há ocasiões em que as palavras não servem de nada.",José Saramago
"Numa vida média de 50 anos, 80 a 100 dias são empregados pelos homens só no ato de fazer a barba.  Ignora-se o que as mulheres fazem com esse tempo.",Millôr Fernandes
O que esse país realmente precisa é que alguém apague a luz no fim do túnel,Millôr Fernandes
O coração tem imbecilidades que a estupidez desconhece.,Millôr Fernandes
"Mas quem não sabe que ternos segredos e confidências recônditas se insinuam muitas vezes em uma pergunta banal, feita por lábios amantes?",José de Alencar
Qualquer idiota consegue ser jovem. (...) É preciso muito talento pra envelhecer.,Millôr Fernandes
"Para temperamentos nostálgicos, em geral quebradiços, pouco flexíveis, viver sozinho é um duríssimo castigo.",José Saramago
"Quando o homem sabe que certa mulher já cedeu a alguém, ele não resiste em verificar se a história se repete.",Millôr Fernandes
Um homem é realmente velho quando só pensa nisso.,Millôr Fernandes
Amar é comprazer-se na perfeição.,José de Alencar
Nada é mais falso do que uma verdade estabelecida.,Millôr Fernandes
Pegamos o telefone que o menino fez com duas caixas de papelão e pedimos uma ligação com a infância.,Millôr Fernandes
"Sir Ney, ao deixar o governo, não deixou pedra sobre pedra, ou só deixou podre sobre podre?",Millôr
"A vida é breve, mas cabe nela muito mais do que somos capazes de viver.",José Saramago
O maior inimigo da autoridade é o desprezo e a maneira mais segura de solapá-la é o riso.,Hannah Arendt (1906-1975)
{...)- Os compromissos rompem-se dum momento para outro.- É exato; Ás vezes ocorrem circunstâncias que desatam as mais solenes obrigações.Mas entre as razões que movem a conciência não se conta o interesse; Ele daria ao arrependimento a feição de uma transação.,José de Alencar
"Se eu estiver a ser sincero hoje, que importa que tenha de arrepender-me amanhã?",José Saramago
"Esnobar
É exigir café fervendo
E deixar esfriar.",Millôr
"De que adianta falar de motivos, às vezes basta um só, às vezes nem juntando todos.",José Saramago
"A pobreza não é, necessariamente, vergonhosa. Há muitos pobres sem vergonha.",Millôr
"o pato, menina,é um animalcom buzina",Millôr Fernandes
"Todo discurso deve ser como o vestido das mulheres; não tão curto, que nos escandalizem, nem tão comprido, que nos entristeçam.",José de Alencar
Ser gênio não é difícil. Difícil é encontrar quem reconheça isso.,Millôr Fernandes
É melhor ser pessimista do que otimista. O pessimista fica feliz quando acerta e quando erra.,Millôr Fernandes
Roube ainda hoje! Amanhã pode ser ilegal.,Millôr
O silêncio ainda é o melhor aplauso.,José Saramago
"Eu sofro de mimfobia, eu tenho medo de mim mesmo e me enfrento todo dia.",Millôr Fernandes
"Quando um chato diz: ""Eu vou embora"", que presença de espírito.",Millôr Fernandes
"A vida, esta vida que inapelavelmente, pétala a pétala,vai desfolhando o tempo, parece, nestes meus dias,ter parado no bem-me-quer …",José Saramago
"Quem não se sentir ofendido com a ofensa feita a outros homens, quem não sentir na face a queimadura da bofetada dada noutra face, seja qual for a sua cor, não é digno de ser homem.",José Martí
"Os nossos amigos poderão não saber muitas coisas, mas sabem sempre o que fariam no nosso lugar",Millôr
Errar é humano. Botar a culpa nos outros também.,Millôr Fernandes
Um Quociente apaixonou-seUm diaDoidamentePor uma Incógnita.,Millôr Fernandes
"Dirão, em som, as coisas que, calados, no silêncio dos olhos confessamos?",José Saramago
"O sândalo é o perfume das mulheres de Estambul, e das huris do profeta; como as borboletas, que se alimentam do mel, a mulher do Oriente vive com as gotas dessa essência divina.",José de Alencar
Ser diplomata é discordar sem ser discordante.,Millôr Fernandes
Só é lutador quem sabe lutar consigo mesmo.,Carlos Drummond de Andrade
Há pessoas que choram por saber que as rosas têm espinho. Há outras que sorriem por saber que os espinhos têm rosas!,Machado de Assis
Gastronomia é comer olhando pro céu.,Millôr Fernandes
A ausência cura o amor.,Miguel de Cervantes
O tambor faz muito barulho mas é vazio por dentro.,Barão de Itararé
pássaro pousadono espantalhoaposentado,Millôr Fernandes
"Cada qual sabe amar a seu modo; o modo, pouco importa; o essencial é que saiba amar.",Machado de Assis
"Escritor: não somente uma certa maneira especial de ver as coisas, senão também uma impossibilidade de as ver de qualquer outra maneira.",Carlos Drummond de Andrade
"Paz na terra aos homens de boa vontade. Isto é, paz para muito poucos.",Millôr
"A todos os que sofrem e estão sós, dai sempre um sorriso de alegria. Não lhes proporciones apenas os vossos cuidados, mas também o vosso coração.",Madre Teresa de Calcutá
O homem começa a morrer na idade em que perde o entusiasmo.,Honoré de Balzac
É porque ninguém gosta de trabalhar que o mundo progride.,Millôr Fernandes
"Nós, os humoristas, temos bastante importância para ser presos e nenhuma importância para ser soltos",Millôr
"Livros e floresTeus olhos são meus livros.Que livro há aí melhor,Em que melhor se leiaA página do amor?Flores me são teus lábios.Onde há mais bela flor, Em que melhor se bebaO bálsamo do amor?",Machado de Assis
Faz parte da natureza das mulheres desprezar quem as ama e amar quem as detesta.,Miguel de Cervantes
"É possível amar e não ser feliz, é possível ser feliz e não amar, mas amar e simultaneamente ser feliz, isso seria milagre.",Honoré de Balzac
Não se ama duas vezes a mesma mulher.,Machado de Assis
Todo o casamento sem amor resulta em amor sem casamento.,Millôr Fernandes
"A moral é uma, os pecados são diferentes.",Machado de Assis
Não há problema tão grande que não caiba no dia seguinte.,Millôr Fernandes
"Que Deus me defenda dos amigos, que dos inimigos me defendo eu.",Jean Hérault de Gourville
Há homens e mulheres que fazem do casamento uma oportunidade de adultério.,Carlos Drummond de Andrade
